Statistical profiling result from isolate-0x272f480-v8.log, (721 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)0, (v8::internal::LoggingAndProfiling)0>::PromoteObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)0, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
      1    0.1%    0.1%  _init
      1    0.1%    0.1%  _dl_lookup_symbol_x
      1    0.1%    0.1%  __GI_mempcpy
      1    0.1%    0.1%  __GI__IO_file_xsputn
      1    0.1%    0.1%  __GI__IO_default_xsputn

 [Summary]:
   ticks  total  nonlib   name
     67    9.3%    9.4%  JavaScript
    640   88.8%   89.5%  C++
     13    1.8%    1.8%  GC
      6    0.8%          Shared libraries
      8    1.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    378   85.3%   52.4%  v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     29    6.5%    4.0%  v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
     10    2.3%    1.4%  v8::internal::Runtime_CompileOptimized_Concurrent(int, v8::internal::Object**, v8::internal::Isolate*)
      4    0.9%    0.6%  v8::internal::Runtime_StoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      3    0.7%    0.4%  v8::internal::Runtime_StackGuard(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.5%    0.3%  v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.5%    0.3%  v8::internal::Runtime_NewObject(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.5%    0.3%  v8::internal::Runtime_LoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.5%    0.3%  v8::internal::Runtime_KeyedStoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.5%    0.3%  v8::internal::Runtime_CreateObjectLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.5%    0.3%  v8::internal::Builtin_JsonParse(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_TryInstallOptimizedCode(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_SetCode(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_KeyedLoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_KeyedGetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_InterpreterNewClosure(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_FixedArrayGet(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Builtin_StringPrototypeToUpperCaseIntl(int, v8::internal::Object**, v8::internal::Isolate*)

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
    293   40.6%  node::SyncProcessRunner::Spawn(v8::FunctionCallbackInfo<v8::Value> const&)
    293  100.0%    v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
    293  100.0%      Function: ~spawnSync child_process.js:508:19
    293  100.0%        Function: ~doRequest /home/ua32p/public_html/functions/node_modules/sync-request/index.js:13:19
    293  100.0%          Function: ~module.exports /home/ua32p/public_html/functions/node_modules/just-get-json/index.js:15:27
    293  100.0%            Function: ~<anonymous> /home/ua32p/public_html/functions/index.js:1:11

     76   10.5%  node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     76  100.0%    v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     51   67.1%      Function: ~createScript vm.js:73:22
     51  100.0%        Function: ~runInThisContext vm.js:115:26
     51  100.0%          Function: ~Module._compile module.js:530:37
     51  100.0%            Function: ~Module._extensions..js module.js:582:37
     25   32.9%      Function: ~runInThisContext bootstrap_node.js:485:28
     25  100.0%        Function: ~NativeModule.compile bootstrap_node.js:574:44
     25  100.0%          Function: ~NativeModule.require bootstrap_node.js:506:34
      4   16.0%            Function: ~Module._load module.js:434:24
      3   12.0%            Function: ~<anonymous> fs.js:1:11
      2    8.0%            Function: ~setupGlobalVariables bootstrap_node.js:215:32
      2    8.0%            Function: ~<anonymous> tls.js:1:11
      2    8.0%            Function: ~<anonymous> stream.js:1:11
      2    8.0%            Function: ~<anonymous> module.js:1:11
      2    8.0%            Function: ~<anonymous> http.js:1:11
      2    8.0%            Function: ~<anonymous> _http_client.js:1:11
      1    4.0%            Function: ~startup bootstrap_node.js:12:19
      1    4.0%            Function: ~setupGlobalTimeouts bootstrap_node.js:260:31
      1    4.0%            Function: ~createWritableStdioStream internal/process/stdio.js:151:35
      1    4.0%            Function: ~<anonymous> util.js:1:11
      1    4.0%            Function: ~<anonymous> internal/url.js:1:11
      1    4.0%            Function: ~<anonymous> child_process.js:1:11

     10    1.4%  v8::internal::compiler::LinearScanAllocator::FindFreeRegistersForRange(v8::internal::compiler::LiveRange*, v8::internal::Vector<v8::internal::compiler::LifetimePosition>)

      8    1.1%  _int_free
      1   12.5%    v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      Function: ~<anonymous> /home/ua32p/node_modules/firebase/app/firebase_app.js:1:11
      1  100.0%        Function: ~Module._compile module.js:530:37
      1  100.0%          Function: ~Module._extensions..js module.js:582:37
      1  100.0%            Function: ~Module.load module.js:498:33

      8    1.1%  UNKNOWN

